year,month,iprod,iprod_construction,cpi,cpi_energy,neer,eurostox,spr_nfc_bund_ea,spr_bk_bund_ea,ice,unemp,r1y_au,r1y_ca,r1y_gb,r1y_jp,r1y_ko,r1y_se,r1y_us,r1y_eu,rstar,fx_au,fx_ca,fx_gb,fx_jp,fx_kr,fx_se,fx_us,neer_ex_au,neer_ex_ca,neer_ex_gb,neer_ex_jp,neer_ex_kr,neer_ex_se,neer_ex_us,gdp,def,jk_gdp,jk_def,mp_poor,cbi_poor,mp,cbi,s,i_tot
2006,6,469.592454925656,464.150211523548,446.314568595867,446.946500382272,464.23224151488,816.867231254547,0.6476766,0.4144717,3.14,8.4,5.925,4.526,4.67901113687494,0.466,4.868,2.688,5.16,3.372,4.09048771436883,53.7789169791699,34.40769278211,-37.5407760651122,497.807468714876,709.755726272275,222.310773001277,23.6036306856175,462.172598745132,462.815979191261,464.011839883725,461.04928089656,462.881919759243,461.972083885797,458.081338622815,1473.36115246072,448.489322920776,1467.7939,454.30194,-3.9671706025406,-0,-4.2328185438025,0.265647941261906,0.590529580651022,-2.44999999999997
2006,7,469.501088998788,463.957161270542,446.602305457793,447.129587743176,464.546628224809,819.349160184465,0.6511207,0.4439166,3.02,8.3,6.167,4.303,4.70590395344157,0.523,4.857,2.8224,5.22,3.37,4.13273640123071,52.354170054922,35.9751193844638,-37.3853879130404,498.914156294805,709.603439676215,222.04164088789,23.8470282893109,462.509778549389,463.080676892581,464.392260730472,461.25612644387,463.214677670308,462.328647526031,458.440076476255,1473.62362521657,448.649831769514,1467.7441,454.48691,2.10541014867638,0,1.66397945309306,0.44143069558332,-0.12308403961736,3.2
2006,8,469.774936728119,464.246597073179,446.74012562432,447.2666836175,464.712082335133,822.787327175802,0.6311288,0.4424038,2.89,8.3,6.1,4.212,4.88178239417532,0.347,4.782,3.0683,5.08,3.469,4.13403697558748,51.8481732271493,35.983468891254,-39.06533125924,500.053143720559,711.602778565712,222.015346571863,24.769152748993,462.682794110801,463.247080852781,465.442618134457,461.290797800188,463.272808566051,462.50647872848,458.213185806716,1473.77078946779,448.810332746719,1467.9489,454.6597,2.74295155257758,0,1.73522715045666,1.00772440212093,-0.0189868012729022,3.94999999999999
2006,9,470.320392625946,464.342889810518,446.590811865458,447.471975660403,464.531931418457,824.73693735324,0.6856756,0.4517597,2.87,8.2,6.071,4.1,4.92927777977461,0.318,4.679,3.1334,4.97,3.609,4.10443137701242,52.2141780688714,35.1479055349865,-39.2652877156451,500.538769405014,710.134263173661,222.730772529429,24.1627838003374,462.497419053847,463.093638525065,465.280517910535,461.023106286276,463.169751812269,462.25727403715,458.252146232938,1473.80431749972,448.965283581754,1468.5012,454.79749,0,0,0,0,0,0
2006,10,469.866052907543,464.053732982538,446.533324080029,447.597224751641,464.190415591064,828.79904703525,0.5853508,0.3784274,2.53,8.1,6.324,4.176,5.04548653817602,0.503,4.696,3.1499,5.01,3.687,4.18771018061421,51.5247348745329,35.3452586206818,-39.6559430797792,500.925208211898,709.317073956263,222.549426100252,23.2840666729114,462.16774524573,462.742097841621,464.978099031456,460.58525466811,462.863410524215,461.908079725509,458.184141806737,1474.10647275891,449.116812179836,1468.5557,454.9476,-0.193420534078352,-0,-0.407830361064301,0.214409826985949,0.0946219063218123,0
2006,11,470.953020131233,465.014355163082,446.659753612415,447.779125665826,464.962142681966,830.716411817323,0.6132817,0.4035274,2.52,8.1,6.24,4.058,5.0373006927436,0.547,4.868,3.2011,5.01,3.697,4.19812643738304,51.1521432474512,38.1713654596562,-39.4374746266217,501.846043368824,709.503187172758,220.826575321906,25.3853563443647,462.942597413481,463.425276462429,465.978408358913,461.333670751999,463.64713696883,462.867106700122,458.277212271427,1474.69039058252,449.357147024597,1469.205,455.15668,-0,-0.586584741701718,2.3976352691294,-2.98422001083112,-0.900673254099615,0.199999999999978
2006,12,473.268350628705,466.438204561994,446.774551007642,447.892645941384,466.102013304752,831.148532624492,0.6040704,0.4006613,2.33,8,6.318,4.169,5.17908037057885,0.514,4.99,3.3183,4.94,3.879,4.23864530478675,51.9333033969051,41.9856428666548,-39.6624046225725,504.285153435236,710.802250286958,220.137159079054,27.7508268220812,464.054782659027,464.43782313926,467.695623618372,462.286942894337,464.737025954576,464.119754054861,458.799790428141,1475.8165647103,449.636016152751,1469.563,455.42599,0,2.15908110906779,-0.813424487384618,2.97250559645241,0.697180658989183,3.69999999999999
2007,1,471.402459090017,466.060489287619,447.026642352329,448.130619876571,465.485613929479,833.273833675963,0.5458397,0.3785816,2.08,7.9,6.214,4.213,5.46610031042368,0.531,5.076,3.4959,5.06,3.958,4.377232073764,50.7081257164965,42.3983309057685,-41.008421917834,505.300049699509,710.498819343652,220.627212899324,26.2397765028626,463.469517011235,463.807632678267,467.429952107929,461.472151486717,464.125029236531,463.428215805751,458.656132626153,1474.91643763615,449.974086124196,1469.4117,455.78549,-4.68131671359279,-0,-4.83600010603986,0.15468339244707,0.644947006706076,-5.65000000000002
2007,2,472.206393745959,466.62652853479,447.175307254774,448.266351149529,466.007021826972,835.000403217637,0.5495338,0.4049657,2.22,7.8,6.163,4.231,5.35809886783992,0.64,5.007,3.4792,5.05,3.944,4.34658546741942,51.344557397783,42.6578137590955,-40.3273222407049,506.033040627033,711.181450676679,221.776129271402,26.8971151961793,463.972319302979,464.319942851521,467.84798274954,461.960485042412,464.61679773209,463.87963943745,459.112719748602,1475.66589099473,450.211324361071,1469.583,456.03473,0.856536380408221,0,1.3029378844781,-0.446401504069881,-0.254627685623987,2.10000000000008
2007,3,472.738781871234,467.095792652609,447.392189937814,448.334147762296,466.864814492834,831.151365261617,0.562278,0.4022335,2.18,7.7,6.399,4.231,5.46197811321377,0.595,4.939,3.5005,4.92,4.073,4.33094358332819,51.3335462735374,43.7237428508828,-38.5328522191798,504.612795156816,713.081002966802,222.965041034753,28.1358243407904,464.813736725089,465.135204068725,468.249039240243,463.088068297743,465.37328078142,464.677508122286,459.775217919024,1475.97394368038,450.386401851958,1470.7439,456.23111,0,0.900070849394984,0.288839781414696,0.611231067980288,0.0854472550656737,1.2
