year,period,cbi,r,iprod,cpi,spr_bk_bund_ea,neer
2015,4,0.65624,-0.279,461.02,460.54,1.191,452.45
2015,5,0,-0.251,460.92,460.72,1.2413,454.21
2015,6,-1.0767,-0.26,460.62,460.77,1.5539,454.99
2015,7,0.14603,-0.246,461.12,460.69,1.394,453.98
2015,8,0,-0.287,459.92,460.61,1.4164,455.64
2015,9,2.7929,-0.296,460.42,460.56,1.5904,456.65
2015,10,5.1766,-0.374,461.02,460.64,1.4402,456.42
2015,11,0,-0.386,460.52,460.67,1.3725,453.36
2015,12,-7.4073,-0.389,460.22,460.47,1.4602,454.77
2016,1,0.23184,-0.469,462.89,460.22,1.6429,455.88
2016,2,0,-0.515,462.01,460.15,1.823,457.47
2016,3,3.9885,-0.483,461.71,460.35,1.5967,456.91
2016,4,-0.74019,-0.522,462.99,460.36,1.4402,457.79
2016,5,0,-0.552,461.21,460.6,1.4799,457.63
2016,6,-1.4537,-0.638,461.61,460.82,1.7608,457.12
2016,7,1.7012,-0.621,461.71,460.84,1.611,457.66
2016,8,0,-0.625,462.89,460.82,1.5361,458.38
2016,9,-1.6906,-0.681,462.1,460.95,1.748,458.47
2016,10,0.21837,-0.713,462.4,461.15,1.5786,458.98
2016,11,0,-0.821,463.18,461.26,1.8706,457.76
2016,12,2.3288,-0.852,463.08,461.57,1.6281,456.38
2017,1,1.0202,-0.691,462.6,461.91,1.6238,456.88
2017,2,0,-0.915,463.96,462.09,1.7518,456.29
2017,3,1.2159,-0.762,464.15,461.99,1.6285,457
2017,4,-0.093811,-0.769,465.01,462.16,1.4958,456.65
2017,5,0,-0.781,465.3,462.04,1.472,458.95
2017,6,-0.63108,-0.687,465.11,462.01,1.1924,460.21
2017,7,-0.29077,-0.694,465.59,462.08,1.1352,461.77
2017,8,0,-0.757,466.63,462.26,1.2319,463.82
2017,9,0.11302,-0.741,465.78,462.48,1.1715,463.9
2017,10,1.2148,-0.774,465.68,462.52,1.1537,463.49
2017,11,0,-0.744,467.38,462.82,1.11,463.53
2017,12,0.49623,-0.688,468.03,462.93,1.0984,463.91
2018,1,-1.9044,-0.627,466.16,463.2,0.93635,465.07
2018,2,0,-0.683,465.97,463.22,1.0385,465.54
2018,3,2.033,-0.694,467.28,463.36,1.1648,465.65
2018,4,-0.46082,-0.66,467.1,463.49,1.1097,465.51
2018,5,0,-0.675,467.47,463.88,1.5745,463.73
2018,6,3.47,-0.671,467.28,464.02,1.5698,463.07
2018,7,0.66476,-0.66,466.16,464.18,1.3717,463.69
2018,8,0,-0.649,466.72,464.29,1.5643,463.18
2018,9,-0.65989,-0.62,466.63,464.55,1.4114,463.54
2018,10,-1.8292,-0.694,466.53,464.78,1.6504,462.67
2018,11,0,-0.667,465.68,464.76,1.7678,462.02
2018,12,0.28132,-0.646,466.44,464.45,1.703,462.44
2019,1,-2.0474,-0.541,466.25,464.47,1.5698,462
2019,2,0,-0.558,467.1,464.6,1.4469,461.62
2019,3,-1.3754,-0.582,467.38,464.78,1.4192,461.08
2019,4,-0.053507,-0.566,467.1,465.11,1.2975,460.92
2019,5,0,-0.63,467,465.18,1.5099,461.24
2019,6,-0.93786,-0.683,465.68,465.22,1.4121,461.82
