year,period,mp_poor,cbi_poor,r,eurostox,iprod,cpi,spr_nfc_bund_ea,neer
1999,1,0.1958,-3.3808,2.883,816.18,455.07,430.51,1.1501,462.68
1999,2,-0.13619,-0,3.016,814.64,452.94,430.54,0.91531,460.45
1999,3,-0.32789,-0,2.871,816.74,454.22,430.74,0.97392,458.66
1999,4,-0.52052,-0.69333,2.616,820.84,454.44,431.11,1.0061,457.39
1999,5,0.4622,-0.13619,2.667,820.79,454.54,431.09,0.94259,456.87
1999,6,0.029803,-0.81284,2.889,822.94,455.49,431.12,0.8696,454.97
1999,7,0.055972,2.3764,2.987,825.49,456.43,431.33,0.88631,455.09
1999,8,-0,-0.27986,3.088,821.37,455.7,431.51,0.90437,455.92
1999,9,-4.5006,-0,3.152,823.56,456.75,431.62,0.8185,454.2
1999,10,-0,-15.48,3.427,822.75,457.68,431.78,0.84815,455.1
1999,11,0,4.5519,3.502,833.33,458.19,431.95,0.85908,452.66
1999,12,-0.31081,-0,3.662,843.17,457.68,432.21,0.84686,450.67
2000,1,-0.010436,-1.858,3.889,845.84,458.39,432.36,0.70782,450.71
2000,2,-0.13619,3.4703,3.892,853.5,459.41,432.52,0.75436,449.38
2000,3,-8.0186,-0,4.139,857.87,459.92,432.74,0.80796,447.81
2000,4,0,0.76122,4.347,854.66,460.22,432.73,0.80828,445.96
2000,5,-1.5412,1.855,4.739,855.15,462.2,432.86,0.90901,444.05
2000,6,15.857,0,4.872,857.07,460.52,433.26,1.0083,447.52
2000,7,2.3216,-0.87122,5.036,856.17,461.41,433.38,1.0315,446.9
2000,8,-6.5024,-1.4405,5.14,854.71,462.79,433.57,1.032,444.16
2000,9,-3.1486,-0,5.094,854.34,461.91,434.06,1.1165,442.09
2000,10,7.1489,0.11412,5.173,849.56,461.71,434.12,1.188,440.5
2000,11,-0.20024,-2.2277,4.949,850.97,462.6,434.42,1.3707,441.36
2000,12,0,2.1325,4.631,847.37,464.25,434.29,1.4458,444.77
2001,1,0.45343,0,4.466,846.16,462.6,434.22,1.3546,448.83
2001,2,0,1.1668,4.525,841.76,463.18,434.52,1.4063,447.91
2001,3,8.6639,0.49098,4.289,834.26,462.79,434.74,1.4385,447.77
2001,4,0,17.84,4.748,836.81,461.41,435.12,1.2518,446.72
2001,5,-21.523,0,4.395,840.78,462.6,435.56,1.1853,444.97
2001,6,0.071411,3.9867,4.266,836.4,462.6,435.72,1.2342,443.51
2001,7,2.0075,1.8051,4.176,830.35,460.82,435.77,1.2005,444.16
2001,8,5.9922,-4.4876,3.997,826.48,463.28,435.84,1.1929,446.97
2001,9,1.2333,0,3.457,809.47,461.61,436.08,1.7274,447.33
2001,10,2.3536,7.9678,3.208,814.35,461.02,436.09,1.7289,447.26
2001,11,3.1228,0,3.163,820.92,460.22,436.09,1.5088,445.87
2001,12,3.3255,0,3.31,821.91,460.62,436.21,1.4978,446.63
2002,1,0,1.5672,3.504,821.34,460.62,436.84,1.4295,446.32
2002,2,0,3.4297,3.49,817.12,460.82,436.96,1.6313,445.35
2002,3,0,1.1977,3.908,822.8,461.71,437.19,1.4115,445.49
2002,4,-0,-1.7402,3.679,820.48,461.12,437.46,1.5688,445.96
2002,5,5.2037,0,3.973,816.15,461.21,437.56,1.5054,447.74
2002,6,0.75872,0,3.681,805.3,461.71,437.58,1.8305,450.13
2002,7,-0,-0.96607,3.409,794.12,461.12,437.79,1.9948,451.41
2002,8,0.0017347,0,3.33,790.01,461.91,437.95,1.9351,450.72
2002,9,-0,-2.846,3.044,780.39,462.01,438.15,2.3152,450.78
2002,10,2.8204,0,3.027,777.68,461.51,438.33,2.1621,451.09
2002,11,1.8715,0,2.95,784.74,462.2,438.33,2.0786,452.13
2002,12,-0,-4.058,2.654,781.48,460.42,438.49,2.0484,453.22
2003,1,0,2.4062,2.567,777.38,461.91,438.96,1.948,455.63
